strain	virus	gisaid_epi_isl	date	region	country	division	pangolin_lineage
hCoV-19/Switzerland/ZH-ETHZ-530917/2021	betacoronavirus	EPI_ISL_1361504	2021-03-05	Europe	Switzerland	Zurich	A
hCoV-19/Coted'Ivoire/BKE-2022-bc17/2021	betacoronavirus	EPI_ISL_1365023	2021-02-12	Africa	Cote d'Ivoire	Bouake	A.27
hCoV-19/Netherlands/ZH-RIVM-18536/2021	betacoronavirus	EPI_ISL_1369814	2021-02-18	Europe	Netherlands	Zuid-Holland	A
hCoV-19/Vietnam/HCMC-05049-02/2021	betacoronavirus	EPI_ISL_1366745	2021-02-10	Asia	Vietnam	Ho Chi Minh City	A.23.1
hCoV-19/Vietnam/HCMC-05046-02/2021	betacoronavirus	EPI_ISL_1366744	2021-02-09	Asia	Vietnam	Ho Chi Minh City	A.23.1
hCoV-19/Vietnam/HCMC-05044-02/2021	betacoronavirus	EPI_ISL_1366743	2021-02-09	Asia	Vietnam	Ho Chi Minh City	A.23.1
hCoV-19/Netherlands/GE-RIVM-19060/2021	betacoronavirus	EPI_ISL_1371033	2021-02-19	Europe	Netherlands	Gelderland	A
hCoV-19/USA/FL-BPHL-1699/2021	betacoronavirus	EPI_ISL_1372281	2021-03-09	North America	USA	Florida	A.2.5.2
hCoV-19/Coted'Ivoire/BKE1590-bc47/2021	betacoronavirus	EPI_ISL_1367689	2021-01-13	Africa	Cote d'Ivoire	Bouake	A.19
hCoV-19/Coted'Ivoire/BKE1695-bc82/2021	betacoronavirus	EPI_ISL_1367698	2021-01-21	Africa	Cote d'Ivoire	Bouake	A.21
hCoV-19/Switzerland/GEN3444/2021	betacoronavirus	EPI_ISL_1370392	2021-02-24	Europe	Switzerland	Vaud	A.27
hCoV-19/Switzerland/GEN3442/2021	betacoronavirus	EPI_ISL_1370388	2021-02-24	Europe	Switzerland	Vaud	A.27
hCoV-19/Spain/RI-IBV-99024415/2021	betacoronavirus	EPI_ISL_1369349	2021-02-08	Europe	Spain	La Rioja	A.21
hCoV-19/Netherlands/NB-RIVM-18033/2021	betacoronavirus	EPI_ISL_1371559	2021-03-09	Europe	Netherlands	Noord-Brabant	A
hCoV-19/Netherlands/NB-RIVM-17990/2021	betacoronavirus	EPI_ISL_1371528	2021-03-10	Europe	Netherlands	Noord-Brabant	A
hCoV-19/Belgium/Aalst-OLVZ-8010812/2021	betacoronavirus	EPI_ISL_1372424	2021-03-08	Europe	Belgium	NA	A.28
hCoV-19/USA/FL-BPHL-1700/2021	betacoronavirus	EPI_ISL_1372282	2021-03-11	North America	USA	Florida	A.2.5
hCoV-19/USA/FL-BPHL-1698/2021	betacoronavirus	EPI_ISL_1372280	2021-03-02	North America	USA	Florida	A.2.5.2
hCoV-19/USA/MN-MDH-4173/2021	betacoronavirus	EPI_ISL_1372192	2021-01-14	North America	USA	Minnesota	A
hCoV-19/USA/NC-UNC-0656/2021	betacoronavirus	EPI_ISL_1373486	2021-03-13	North America	USA	North Carolina	A.2.5
hCoV-19/CostaRica/INC-0329/2021	betacoronavirus	EPI_ISL_1379422	2021-02-23	Caribbean	Costa Rica	Cartago	A.2.5.1
hCoV-19/CostaRica/INC-0340/2021	betacoronavirus	EPI_ISL_1379432	2021-03-01	Caribbean	Costa Rica	Puntarenas	A.2.5.1
hCoV-19/CostaRica/INC-0342/2021	betacoronavirus	EPI_ISL_1379434	2021-02-27	Caribbean	Costa Rica	Puntarenas	A.2.5.1
hCoV-19/CostaRica/INC-0325/2021	betacoronavirus	EPI_ISL_1379418	2021-02-12	Caribbean	Costa Rica	Limon	A.2.5
hCoV-19/CostaRica/INC-0324/2021	betacoronavirus	EPI_ISL_1379417	2021-02-12	Caribbean	Costa Rica	Limon	A.2.5
hCoV-19/CostaRica/INC-0322/2021	betacoronavirus	EPI_ISL_1379415	2021-02-22	Caribbean	Costa Rica	San Jose	A.2.5.1
hCoV-19/CostaRica/INC-0296/2021	betacoronavirus	EPI_ISL_1379392	2021-01-24	Caribbean	Costa Rica	Puntarenas	A.2.5.1
hCoV-19/Poland/PL_P314/2021	betacoronavirus	EPI_ISL_1378876	2021-02-24	Europe	Poland	Kujawsko-Pomorskie	A.23.1
hCoV-19/Belgium/rega-5023/2021	betacoronavirus	EPI_ISL_1382686	2021-03-03	Europe	Belgium	Sambreffe	A.27
hCoV-19/Luxembourg/LNS1542674/2021	betacoronavirus	EPI_ISL_1383894	2021-02-12	Europe	Luxembourg	NA	A.28
hCoV-19/Luxembourg/LNS7034377/2021	betacoronavirus	EPI_ISL_1383855	2021-02-01	Europe	Luxembourg	NA	A.28
hCoV-19/Belgium/rega-4279/2021	betacoronavirus	EPI_ISL_1380719	2021-02-22	Europe	Belgium	Berlare	A
hCoV-19/Luxembourg/LNS3445509/2021	betacoronavirus	EPI_ISL_1384141	2021-02-27	Europe	Luxembourg	NA	A.27
hCoV-19/Luxembourg/LNS0021152/2021	betacoronavirus	EPI_ISL_1384133	2021-02-27	Europe	Luxembourg	NA	A.27
hCoV-19/Luxembourg/LNS9039700/2021	betacoronavirus	EPI_ISL_1383629	2021-02-20	Europe	Luxembourg	NA	A.27
hCoV-19/Luxembourg/LNS9014046/2021	betacoronavirus	EPI_ISL_1383630	2021-02-20	Europe	Luxembourg	NA	A.27
hCoV-19/France/PDL-IPP05410/2021	betacoronavirus	EPI_ISL_1381827	2021-01-14	Europe	France	Pays De La Loire	A.27
hCoV-19/France/PDL-IPP05409/2021	betacoronavirus	EPI_ISL_1381826	2021-01-12	Europe	France	Pays De La Loire	A.27
hCoV-19/France/IDF-IPP05265/2021	betacoronavirus	EPI_ISL_1381820	2021-03-08	Europe	France	Ile-de-France	A.27
hCoV-19/England/PHWC-4D6227/2021	betacoronavirus	EPI_ISL_1387589	2021-02-07	Europe	United Kingdom	England	A.23.1
hCoV-19/USA/MA-CDC-STM-000038194/2021	betacoronavirus	EPI_ISL_1391802	2021-02-14	North America	USA	Massachusetts	A.2.5
hCoV-19/Spain/NC-CHN-01000914/2021	betacoronavirus	EPI_ISL_1393485	2021-01-28	Europe	Spain	Navarra	A.2
hCoV-19/Portugal/PT4350/2021	betacoronavirus	EPI_ISL_1399421	2021-03-10	Europe	Portugal	NA	A.21
hCoV-19/Portugal/PT4346/2021	betacoronavirus	EPI_ISL_1399420	2021-03-02	Europe	Portugal	NA	A.21
hCoV-19/Portugal/PT5060/2021	betacoronavirus	EPI_ISL_1399422	2021-03-11	Europe	Portugal	NA	A.21
hCoV-19/USA/NY-Wadsworth-21015718-01/2021	betacoronavirus	EPI_ISL_1397520	2021-01-25	North America	USA	New York	A.2.5.2
hCoV-19/Ireland/KK-NVRL-ec21IRL55626/2021	betacoronavirus	EPI_ISL_1398824	2021-03-01	Europe	Ireland	Kilkenny	A.23.1
hCoV-19/Belgium/UGent-3548/2021	betacoronavirus	EPI_ISL_1404180	2021-03-05	Europe	Belgium	Ghent	A.29
hCoV-19/USA/MD-HP02115/2021	betacoronavirus	EPI_ISL_1405593	2021-02-02	North America	USA	Maryland	A.2.5
hCoV-19/Slovenia/107726/2021	betacoronavirus	EPI_ISL_1406290	2021-03-01	Europe	Slovenia	NA	A.27
hCoV-19/Slovenia/104842/2021	betacoronavirus	EPI_ISL_1406287	2021-02-26	Europe	Slovenia	NA	A.27
hCoV-19/France/NAQ-CERBAHC-20210328-S38/2021	betacoronavirus	EPI_ISL_1403498	2021-03-05	Europe	France	Nouvelle-Aquitaine	A.27
hCoV-19/Italy/APU-OORR-UniFg-F9/2021	betacoronavirus	EPI_ISL_1416330	2021-02-08	Europe	Italy	Apulia	A.28
hCoV-19/India/WB-1931500924386/2021	betacoronavirus	EPI_ISL_1419643	2021-03-08	Asia	India	West Bengal	A.29
hCoV-19/Germany/BW-RKI-I-053868/2021	betacoronavirus	EPI_ISL_1437373	2021-03-06	Europe	Germany	Baden-Wurttemberg	A.27
hCoV-19/Kenya/C85874/2021	betacoronavirus	EPI_ISL_1440136	2021-03-03	Africa	Kenya	Kilifi	A.23.1
hCoV-19/Kenya/C85262/2021	betacoronavirus	EPI_ISL_1440119	2021-02-26	Africa	Kenya	Kilifi	A.23.1
hCoV-19/USA/NC-UNC-LCCC0418/2021	betacoronavirus	EPI_ISL_1443308	2021-01-12	North America	USA	North Carolina	A
hCoV-19/USA/NC-CDC-2-4044233/2021	betacoronavirus	EPI_ISL_1446556	2021-02-28	North America	USA	North Carolina	A.23.1
hCoV-19/USA/NM-CDC-2-4043541/2021	betacoronavirus	EPI_ISL_1446637	2021-03-09	North America	USA	New Mexico	A.2.5
hCoV-19/USA/NY-CDC-ASC210000189/2021	betacoronavirus	EPI_ISL_1445308	2021-03-02	North America	USA	New York	A.2.5
hCoV-19/USA/IA-CDC-2-4043619/2021	betacoronavirus	EPI_ISL_1446604	2021-03-10	North America	USA	Iowa	A.21
hCoV-19/USA/SC-CDC-2-4043922/2021	betacoronavirus	EPI_ISL_1446708	2021-03-10	North America	USA	South Carolina	A.23.1
hCoV-19/USA/CA-CDC-FG-006898/2021	betacoronavirus	EPI_ISL_1459538	2021-03-12	North America	USA	California	A.2.5
hCoV-19/USA/MO-CDC-FG-010984/2021	betacoronavirus	EPI_ISL_1458284	2021-03-09	North America	USA	Missouri	A.21
hCoV-19/USA/CA-CDC-FG-008439/2021	betacoronavirus	EPI_ISL_1460676	2021-03-10	North America	USA	California	A.2.5
hCoV-19/USA/CA-CDC-FG-005532/2021	betacoronavirus	EPI_ISL_1458514	2021-03-12	North America	USA	California	A.2.5
hCoV-19/USA/CA-CDC-FG-012401/2021	betacoronavirus	EPI_ISL_1459952	2021-03-08	North America	USA	California	A.2.5
hCoV-19/USA/CA-CDC-FG-012745/2021	betacoronavirus	EPI_ISL_1460148	2021-03-09	North America	USA	California	A.2.5
hCoV-19/USA/GA-CDC-FG-006082/2021	betacoronavirus	EPI_ISL_1458712	2021-03-03	North America	USA	Georgia	A.21
hCoV-19/USA/SC-CDC-LC0031080/2021	betacoronavirus	EPI_ISL_1463047	2021-03-13	North America	USA	South Carolina	A.23.1
hCoV-19/Indonesia/JK-NIHRD-MI2103376/2021	betacoronavirus	EPI_ISL_1469264	2021-03-04	Asia	Indonesia	Jakarta	A.23.1
hCoV-19/Uganda/UG220/2021	betacoronavirus	EPI_ISL_1469318	2021-01-19	Africa	Uganda	NA	A.23.1
hCoV-19/Uganda/UG221/2021	betacoronavirus	EPI_ISL_1469319	2021-01-19	Africa	Uganda	NA	A.23.1
hCoV-19/Uganda/UG215/2021	betacoronavirus	EPI_ISL_1469313	2021-01-21	Africa	Uganda	NA	A.23.1
hCoV-19/Uganda/UG217/2021	betacoronavirus	EPI_ISL_1469315	2021-01-22	Africa	Uganda	NA	A.23.1
hCoV-19/Uganda/UG225/2021	betacoronavirus	EPI_ISL_1469323	2021-01-19	Africa	Uganda	NA	A.23.1
hCoV-19/Uganda/UG226/2021	betacoronavirus	EPI_ISL_1469324	2021-01-20	Africa	Uganda	NA	A.23.1
hCoV-19/USA/NY-Wadsworth-21032751-01/2021	betacoronavirus	EPI_ISL_1465825	2021-02-28	North America	USA	New York	A.2.5
hCoV-19/India/WB-1931500873716/2021	betacoronavirus	EPI_ISL_1419562	2021-02-22	Asia	India	West Bengal	A.29
hCoV-19/Panama/GMI-PA695202/2021	betacoronavirus	EPI_ISL_1503050	2021-02-03	Caribbean	Panama	Panama North	A.2.5
hCoV-19/Coted'Ivoire/BKE2223-bc69/2021	betacoronavirus	EPI_ISL_1367694	2021-02-22	Africa	Cote d'Ivoire	Bouake	A.19
hCoV-19/Panama/GMI-PA693870/2021	betacoronavirus	EPI_ISL_1503043	2021-02-02	Caribbean	Panama	San Miguelito	A.2.5.2
hCoV-19/USA/AZ-ASU3445/2021	betacoronavirus	EPI_ISL_1532527	2021-01-21	North America	USA	Arizona	A.2.5
hCoV-19/USA/NY-NYULH1636/2021	betacoronavirus	EPI_ISL_1922872	2021-02-04	North America	USA	New York	A.2.5.2
hCoV-19/Kenya/ICGEB-KEMRI-11_S27_S11_S25_S28/2021	betacoronavirus	EPI_ISL_2348623	2021-02-08	Africa	Kenya	Nairobi	A.23.1
hCoV-19/CanaryIslands/CN-IBV-97024866/2021	betacoronavirus	EPI_ISL_1716601	2021-01-24	Europe	Canary Islands	Las Palmas de Gran Canaria	A.28
hCoV-19/France/PDL-IPP04367/2021	betacoronavirus	EPI_ISL_2178457	2021-02-18	Europe	France	Pays de la Loire	A.27
hCoV-19/Canada/ABPHL-03470/2021	betacoronavirus	EPI_ISL_2163706	2021-02-03	North America	Canada	Alberta	A.23.1
hCoV-19/Nigeria/NCDC-FCT-11k/2021	betacoronavirus	EPI_ISL_1381815	2021-02-05	Africa	Nigeria	Abuja	A.27
hCoV-19/Canada/Qc-LAV-T0060930/2021	betacoronavirus	EPI_ISL_2294366	2021-02-06	North America	Canada	Quebec	A.18
hCoV-19/Italy/CAM-AMES_53_76/2021	betacoronavirus	EPI_ISL_1359611	2021-03-10	Europe	Italy	Campania	A.2.5.2
hCoV-19/Panama/GMI-PA661402/2021	betacoronavirus	EPI_ISL_1503003	2021-01-13	Caribbean	Panama	Panama North	A.2.4
hCoV-19/France/COR-HCL021012380401/2021	betacoronavirus	EPI_ISL_1371804	2021-01-20	Europe	France	Corse	A.21
hCoV-19/France/HDF-IPP05343/2021	betacoronavirus	EPI_ISL_1381154	2021-02-24	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP05341/2021	betacoronavirus	EPI_ISL_1381152	2021-02-16	Europe	France	Hauts-de-France	A.28
hCoV-19/Spain/CT-HUGTiPR009AG4E11/2021	betacoronavirus	EPI_ISL_1386061	2021-03-11	Europe	Spain	Catalunya	A.27
hCoV-19/Portugal/PT4345/2021	betacoronavirus	EPI_ISL_1399419	2021-03-02	Europe	Portugal	NA	A.21
hCoV-19/Portugal/PT4344/2021	betacoronavirus	EPI_ISL_1399418	2021-03-02	Europe	Portugal	NA	A.21
hCoV-19/Portugal/PT4343/2021	betacoronavirus	EPI_ISL_1399417	2021-03-02	Europe	Portugal	NA	A.21
hCoV-19/Malaysia/IMR_WC118251/2021	betacoronavirus	EPI_ISL_1424513	2021-03-06	Asia	Malaysia	NA	A.23.1
hCoV-19/Germany/NW-RKI-I-051656/2021	betacoronavirus	EPI_ISL_1434601	2021-03-14	Europe	Germany	North Rhine-Westphalia	A.29
hCoV-19/Kenya/C82459/2021	betacoronavirus	EPI_ISL_1440084	2021-02-03	Africa	Kenya	Taita Taveta	A.23.1
hCoV-19/USA/CA-CDC-FG-012347/2021	betacoronavirus	EPI_ISL_1459911	2021-03-08	North America	USA	California	A.2.5
hCoV-19/Uganda/UG227/2021	betacoronavirus	EPI_ISL_1469325	2021-01-21	Africa	Uganda	NA	A.23.1
hCoV-19/BurkinaFaso/6758/2021	betacoronavirus	EPI_ISL_2142738	2021-01-11	Africa	Burkina Faso	Bobo Dioulasso	A.21
hCoV-19/Panama/GMI-PA689987/2021	betacoronavirus	EPI_ISL_1503029	2021-01-29	Caribbean	Panama	Panama Oeste	A.2.5
hCoV-19/USA/MD-NIH-00350/2021	betacoronavirus	EPI_ISL_1509051	2021-02-06	North America	USA	Maryland	A.23.1
hCoV-19/Italy/CAM-AMES-58-84/2021	betacoronavirus	EPI_ISL_1558370	2021-03-13	Europe	Italy	Campania	A.2.5.2
hCoV-19/CanaryIslands/CN-ISCIII-211783/2021	betacoronavirus	EPI_ISL_1510704	2021-01-03	Europe	Canary Islands	NA	A.28
hCoV-19/Canada/AB-ABPHL-05900/2021	betacoronavirus	EPI_ISL_2165231	2021-02-03	North America	Canada	Alberta	A.23.1
hCoV-19/Germany/un-RKI-I-081638/2021	betacoronavirus	EPI_ISL_1646504	2021-03-11	Europe	Germany	NA	A.27
hCoV-19/USA/SC-CDC-LC0030606/2021	betacoronavirus	EPI_ISL_1463046	2021-03-13	North America	USA	South Carolina	A.23.1
hCoV-19/France/NAQ-HCL021070189701/2021	betacoronavirus	EPI_ISL_1788432	2021-02-28	Europe	France	Nouvelle-Aquitaine	A.28
hCoV-19/Denmark/DCGC-76961/2021	betacoronavirus	EPI_ISL_1885532	2021-03-08	Europe	Denmark	Hovedstaden	A.28
hCoV-19/Slovenia/vero-61741-3p/2021	betacoronavirus	EPI_ISL_1668564	2021-02-03	Europe	Slovenia	NA	A.27
hCoV-19/France/IDF-HMN-21032030210/2021	betacoronavirus	EPI_ISL_1672786	2021-02-15	Europe	France	Ile-de-France	A.21
hCoV-19/CanaryIslands/CN-ISCIII-212153/2021	betacoronavirus	EPI_ISL_1683805	2021-02-05	Europe	Canary Islands	NA	A.28
hCoV-19/Canada/ABPHL-06340/2021	betacoronavirus	EPI_ISL_2165433	2021-02-17	North America	Canada	Alberta	A.23.1
hCoV-19/Denmark/DCGC-82539/2021	betacoronavirus	EPI_ISL_1891374	2021-03-08	Europe	Denmark	Hovedstaden	A.28
hCoV-19/France/IDF-HMN-21032030228/2021	betacoronavirus	EPI_ISL_1672744	2021-03-02	Europe	France	Ile-de-France	A.27
hCoV-19/Canada/ABPHL-03002/2021	betacoronavirus	EPI_ISL_2163434	2021-01-12	North America	Canada	Alberta	A.23.1
hCoV-19/France/IDF-HMN-21042070141/2021	betacoronavirus	EPI_ISL_1755643	2021-02-22	Europe	France	Ile-de-France	A.21
hCoV-19/USA/MD-IGS-012103606519A/2021	betacoronavirus	EPI_ISL_1444789	2021-02-05	North America	USA	Maryland	A.2.5
hCoV-19/Canada/ABPHL-09312/2021	betacoronavirus	EPI_ISL_2167431	2021-03-05	North America	Canada	Alberta	A.23.1
hCoV-19/Canada/AB-ABPHL-05424/2021	betacoronavirus	EPI_ISL_2164856	2021-02-08	North America	Canada	Alberta	A.23.1
hCoV-19/Canada/ON-SC4867/2021	betacoronavirus	EPI_ISL_1740309	2021-01-22	North America	Canada	Ontario	A.23.1
hCoV-19/Canada/ABPHL-03009/2021	betacoronavirus	EPI_ISL_2163441	2021-01-16	North America	Canada	Alberta	A.23.1
hCoV-19/Canada/ABPHL-02652/2021	betacoronavirus	EPI_ISL_2163165	2021-01-04	North America	Canada	Alberta	A.23.1
hCoV-19/India/WB-1931500896207/2021	betacoronavirus	EPI_ISL_1419609	2021-02-28	Asia	India	West Bengal	A.29
hCoV-19/USA/FL-CDC-STM-000033917/2021	betacoronavirus	EPI_ISL_1444079	2021-03-12	North America	USA	Florida	A.2.5
hCoV-19/USA/GA-CDC-STM-000035664/2021	betacoronavirus	EPI_ISL_1479352	2021-03-13	North America	USA	Georgia	A.2.5.2
hCoV-19/BurkinaFaso/7623/2021	betacoronavirus	EPI_ISL_2142724	2021-01-21	Africa	Burkina Faso	Bobo Dioulasso	A
hCoV-19/Canada/ABPHL-03520/2021	betacoronavirus	EPI_ISL_2163715	2021-01-14	North America	Canada	Alberta	A.23.1
hCoV-19/Canada/ABPHL-02644/2021	betacoronavirus	EPI_ISL_2163161	2021-01-05	North America	Canada	Alberta	A.23.1
hCoV-19/Canada/ABPHL-02986/2021	betacoronavirus	EPI_ISL_2163418	2021-01-11	North America	Canada	Alberta	A.23.1
hCoV-19/Canada/AB-ABPHL-05409/2021	betacoronavirus	EPI_ISL_2164841	2021-02-16	North America	Canada	Alberta	A.23.1
hCoV-19/Canada/ABPHL-09707/2021	betacoronavirus	EPI_ISL_2167723	2021-03-14	North America	Canada	Alberta	A.23.1
hCoV-19/Canada/ABPHL-09073/2021	betacoronavirus	EPI_ISL_2167256	2021-03-12	North America	Canada	Alberta	A.23.1
hCoV-19/Canada/AB-ABPHL-08373/2021	betacoronavirus	EPI_ISL_2166665	2021-02-27	North America	Canada	Alberta	A.23.1
hCoV-19/CostaRica/INC-0323/2021	betacoronavirus	EPI_ISL_1379416	2021-02-22	Caribbean	Costa Rica	Cartago	A.2.5.1
hCoV-19/Togo/C6370/2021	betacoronavirus	EPI_ISL_1508916	2021-02-04	Africa	Togo	Lome	A.27
hCoV-19/CostaRica/INC-0448/2021	betacoronavirus	EPI_ISL_1712416	2021-03-08	Caribbean	Costa Rica	Alajuela	A.2.5
hCoV-19/Canada/AB-ABPHL-05236/2021	betacoronavirus	EPI_ISL_2164716	2021-01-08	North America	Canada	Alberta	A.23.1
hCoV-19/CostaRica/INC-0486/2021	betacoronavirus	EPI_ISL_1827516	2021-03-11	Caribbean	Costa Rica	Puntarenas	A.2.5.1
hCoV-19/France/HDF-P169-21075M1264/2021	betacoronavirus	EPI_ISL_1448016	2021-02-19	Europe	France	Hauts-de-France	A.27
hCoV-19/Panama/GMI-PA707633/2021	betacoronavirus	EPI_ISL_1503116	2021-02-20	Caribbean	Panama	Colon	A.2.5
hCoV-19/Uganda/UG219/2021	betacoronavirus	EPI_ISL_1469317	2021-01-19	Africa	Uganda	NA	A.23.1
hCoV-19/Rwanda/NRLNAT4030/2021	betacoronavirus	EPI_ISL_2362517	2021-02-23	Africa	Rwanda	Kigali	A
hCoV-19/Panama/GMI-PA683227/2021	betacoronavirus	EPI_ISL_1503011	2021-01-24	Caribbean	Panama	Panama North	A.2.5.2
hCoV-19/France/IDF-HMN-21032080476/2021	betacoronavirus	EPI_ISL_1696300	2021-03-02	Europe	France	Ile-de-France	A.27
hCoV-19/U.S.VirginIslands/VI-CDC-2-4122430/2021	betacoronavirus	EPI_ISL_1528518	2021-02-07	Caribbean	U.S. Virgin Islands	NA	A.2.5
hCoV-19/CostaRica/INC-0569/2021	betacoronavirus	EPI_ISL_2103418	2021-03-01	Caribbean	Costa Rica	Puntarenas	A.2.5.1
hCoV-19/Togo/C6559/2021	betacoronavirus	EPI_ISL_1586900	2021-02-05	Africa	Togo	Lome	A.27
hCoV-19/BurkinaFaso/164/2021	betacoronavirus	EPI_ISL_2227201	2021-02-09	Africa	Burkina Faso	Bobo Dioulasso	A.27
hCoV-19/CostaRica/INC-0433/2021	betacoronavirus	EPI_ISL_1712402	2021-03-01	Caribbean	Costa Rica	Guanacaste	A.2.5
hCoV-19/BurkinaFaso/165/2021	betacoronavirus	EPI_ISL_2227202	2021-02-09	Africa	Burkina Faso	Bobo Dioulasso	A.27
hCoV-19/BurkinaFaso/7688/2021	betacoronavirus	EPI_ISL_2289102	2021-01-23	Africa	Burkina Faso	Bobo Dioulasso	A.27
hCoV-19/CanaryIslands/CN-ISCIII-211782/2021	betacoronavirus	EPI_ISL_1510703	2021-01-26	Europe	Canary Islands	NA	A.28
hCoV-19/Rwanda/NRLNAT4016/2021	betacoronavirus	EPI_ISL_2362503	2021-01-30	Africa	Rwanda	Kigali	A.23.1
hCoV-19/Panama/GMI-PA705926/2021	betacoronavirus	EPI_ISL_1503104	2021-02-17	Caribbean	Panama	Panama Oeste	A.2.5
hCoV-19/USA/NY-NYCPHL-003831/2021	betacoronavirus	EPI_ISL_1447105	2021-03-11	North America	USA	New York	A.2.5.2
hCoV-19/CanaryIslands/CN-ISCIII-211784/2021	betacoronavirus	EPI_ISL_1510705	2021-01-27	Europe	Canary Islands	NA	A.28
hCoV-19/BurkinaFaso/7722/2021	betacoronavirus	EPI_ISL_2289105	2021-01-26	Africa	Burkina Faso	Bobo Dioulasso	A.21
hCoV-19/Canada/ABPHL-03873/2021	betacoronavirus	EPI_ISL_2163905	2021-01-11	North America	Canada	Alberta	A.23.1
hCoV-19/Panama/GMI-PA666183/2021	betacoronavirus	EPI_ISL_1503005	2021-01-19	Caribbean	Panama	Panama Este	A.2.5
hCoV-19/Qatar/QA-QU_18-F1/2021	betacoronavirus	EPI_ISL_1713906	2021-02-05	Asia	Qatar	Doha	A
hCoV-19/Finland/3044/2021	betacoronavirus	EPI_ISL_1841806	2021-02-22	Europe	Finland	Uusimaa	A.23.1
hCoV-19/Canada/Qc-L00333843001/2021	betacoronavirus	EPI_ISL_2294206	2021-03-13	North America	Canada	Quebec	A.2.5.2
hCoV-19/BurkinaFaso/7770/2021	betacoronavirus	EPI_ISL_2289106	2021-01-27	Africa	Burkina Faso	Bobo Dioulasso	A
hCoV-19/France/IDF-IPP04286/2021	betacoronavirus	EPI_ISL_1654207	2021-02-23	Europe	France	Ile-de-France	A.23.1
hCoV-19/Panama/GMI-PA706193/2021	betacoronavirus	EPI_ISL_1503107	2021-02-18	Caribbean	Panama	San Miguelito	A.2.5
hCoV-19/Greece/122776/2021	betacoronavirus	EPI_ISL_1716707	2021-02-18	Europe	Greece	Attica	A.23.1
hCoV-19/Canada/ABPHL-03471/2021	betacoronavirus	EPI_ISL_2163707	2021-02-03	North America	Canada	Alberta	A.23.1
hCoV-19/Canada/AB-ABPHL-08415/2021	betacoronavirus	EPI_ISL_2166707	2021-02-28	North America	Canada	Alberta	A.23.1
hCoV-19/CostaRica/INC-0476/2021	betacoronavirus	EPI_ISL_1827507	2021-03-13	Caribbean	Costa Rica	Alajuela	A.2.5.1
hCoV-19/France/IDF-APHP-HEGP-07-16-2131743451/2021	betacoronavirus	EPI_ISL_1501007	2021-01-28	Europe	France	Ile-de-France	A.21
hCoV-19/CostaRica/HNN-0364/2021	betacoronavirus	EPI_ISL_1517408	2021-02-15	Caribbean	Costa Rica	Heredia	A.2.5.1
hCoV-19/CostaRica/INC-0477/2021	betacoronavirus	EPI_ISL_1827508	2021-03-12	Caribbean	Costa Rica	San Jose	A.2.5
hCoV-19/Panama/GMI-PA683106/2021	betacoronavirus	EPI_ISL_1503008	2021-01-24	Caribbean	Panama	San Miguelito	A.2.5
hCoV-19/Canada/Qc-L00333874001/2021	betacoronavirus	EPI_ISL_2294209	2021-03-14	North America	Canada	Quebec	A.2.5.2
hCoV-19/USA/NY-CDC-ASC210000188/2021	betacoronavirus	EPI_ISL_1445307	2021-03-02	North America	USA	New York	A.2.5
hCoV-19/Coted'Ivoire/COV-BKE2337-bc19/2021	betacoronavirus	EPI_ISL_1663610	2021-02-20	Africa	Cote d'Ivoire	Niakara	A.19
hCoV-19/Coted'Ivoire/COV-BKE1545-bc17/2021	betacoronavirus	EPI_ISL_1662510	2021-01-11	Africa	Cote d'Ivoire	Niakara	A.21
hCoV-19/Italy/SAR-ISS-7342/2021	betacoronavirus	EPI_ISL_2244910	2021-02-17	Europe	Italy	Sardinia	A.27
hCoV-19/Panama/GMI-PA706973/2021	betacoronavirus	EPI_ISL_1503111	2021-02-19	Caribbean	Panama	Metropolitana	A.2.5
hCoV-19/Ethiopia/ICGEB-S13/2021	betacoronavirus	EPI_ISL_2241611	2021-02-01	Africa	Ethiopia	Addis Ababa	A
hCoV-19/Panama/GMI-PA707039/2021	betacoronavirus	EPI_ISL_1503112	2021-02-20	Caribbean	Panama	Panama North	A.2.5.2
hCoV-19/CostaRica/INC-0481/2021	betacoronavirus	EPI_ISL_1827512	2021-03-09	Caribbean	Costa Rica	Heredia	A.2.5.1
hCoV-19/Panama/GMI-PA683360/2021	betacoronavirus	EPI_ISL_1503012	2021-01-25	Caribbean	Panama	Cocle	A.2.5
hCoV-19/Italy/SAR-ISS-7344/2021	betacoronavirus	EPI_ISL_2244912	2021-02-17	Europe	Italy	Sardinia	A.27
hCoV-19/France/PDL-CHUN-0005/2021	betacoronavirus	EPI_ISL_1651212	2021-02-15	Europe	France	Pays de la Loire	A.28
hCoV-19/Canada/ABPHL-03881/2021	betacoronavirus	EPI_ISL_2163913	2021-01-05	North America	Canada	Alberta	A.23.1
hCoV-19/Qatar/QA-QU_18-5-3-A12/2021	betacoronavirus	EPI_ISL_1713713	2021-03-02	Asia	Qatar	Doha	A
hCoV-19/Rwanda/NRLNAT4012/2021	betacoronavirus	EPI_ISL_2365913	2021-02-10	Africa	Rwanda	NA	A.23.1
hCoV-19/Rwanda/NRLNAT4026/2021	betacoronavirus	EPI_ISL_2362513	2021-02-11	Africa	Rwanda	Kigali	A
hCoV-19/USA/CA-CDC-ASC210001112/2021	betacoronavirus	EPI_ISL_1445613	2021-03-03	North America	USA	California	A.2.5
